data,preco,volume,symbol
2025-07-02,108849.6,17691.89592,BTCUSDT
2025-07-03,109584.78,13047.08225,BTCUSDT
2025-07-04,107984.24,11793.86615,BTCUSDT
2025-07-05,108198.12,3736.9757,BTCUSDT
2025-07-06,109203.84,6447.607,BTCUSDT
2025-07-07,108262.94,9405.37601,BTCUSDT
2025-07-08,108922.98,9216.0208,BTCUSDT
2025-07-09,111233.99,17282.2865,BTCUSDT
2025-07-10,116010.0,24883.450665,BTCUSDT
2025-07-11,117527.66,25873.521148,BTCUSDT
2025-07-12,117420.0,8446.60437,BTCUSDT
2025-07-13,119086.64,9550.792947,BTCUSDT
2025-07-14,119841.18,27269.348877,BTCUSDT
2025-07-15,117758.09,32018.46083,BTCUSDT
2025-07-16,118630.43,17039.90851,BTCUSDT
2025-07-17,119177.56,15728.57651,BTCUSDT
2025-07-18,117924.84,19924.66266,BTCUSDT
2025-07-19,117840.0,6635.80306,BTCUSDT
2025-07-20,117265.12,12962.92889,BTCUSDT
2025-07-21,117380.36,17107.33128,BTCUSDT
2025-07-22,119954.42,20959.12973,BTCUSDT
2025-07-23,118755.99,14558.75083,BTCUSDT
2025-07-24,118340.99,15806.89043,BTCUSDT
2025-07-25,117614.31,38406.34873,BTCUSDT
2025-07-26,117919.99,6991.67206,BTCUSDT
2025-07-27,119415.55,9328.30919,BTCUSDT
2025-07-28,118062.32,13961.74754,BTCUSDT
2025-07-29,117950.76,15137.93445,BTCUSDT
2025-07-30,117840.3,15586.73631,BTCUSDT
2025-07-31,115764.08,17010.0073,BTCUSDT
2025-08-01,113297.93,24487.10206,BTCUSDT
2025-08-02,112546.35,11507.33428,BTCUSDT
2025-08-03,114208.8,7397.76046,BTCUSDT
2025-08-04,115055.03,9667.67916,BTCUSDT
2025-08-05,114129.75,12042.79078,BTCUSDT
2025-08-06,114992.27,9761.15318,BTCUSDT
2025-08-07,117472.01,13468.56263,BTCUSDT
2025-08-08,116674.74,10045.31278,BTCUSDT
2025-08-09,116462.25,9514.13144,BTCUSDT
2025-08-10,119294.01,14322.77073,BTCUSDT
2025-08-11,118686.0,26494.33429,BTCUSDT
2025-08-12,120134.08,16720.10893,BTCUSDT
2025-08-13,123306.43,23210.07102,BTCUSDT
2025-08-14,118295.09,27980.947586,BTCUSDT
2025-08-15,117342.05,13623.33874,BTCUSDT
2025-08-16,117380.66,6393.68117,BTCUSDT
2025-08-17,117405.01,5898.64192,BTCUSDT
2025-08-18,116227.05,17745.93954,BTCUSDT
2025-08-19,112872.94,18065.47424,BTCUSDT
2025-08-20,114271.24,15636.34194,BTCUSDT
2025-08-21,112500.0,10839.69235,BTCUSDT
2025-08-22,116935.99,23128.09037,BTCUSDT
2025-08-23,115438.05,11329.36197,BTCUSDT
2025-08-24,113493.59,21175.98462,BTCUSDT
2025-08-25,110111.98,25182.79379,BTCUSDT
2025-08-26,111763.22,18452.43877,BTCUSDT
